fecha_diagnostico,residencia_provincia_nombre,lat,lng,Casos
2020-04-01,Tucumán,-27,-65.5,1
2020-04-02,Buenos Aires,-36.15722,-60.56972,31
2020-04-02,CABA,-34.58591,-58.38171,34
2020-04-02,Chaco,-27.45138,-58.98666,9
2020-04-02,Córdoba,-32,-64,20
2020-04-02,Corrientes,-28.6666,-57.6333,2
2020-04-02,Entre Ríos,-32.04777,-60.2811,1
2020-04-02,Jujuy,-23.75,-65.5,2
2020-04-02,Mendoza,-32.89027,-68.84722,2
2020-04-02,Neuquén,-38.95166,-68.07444,3
2020-04-02,San Luis,-33.3,-66.35,1
2020-04-02,Santa Fe,-33.72277,-62.24611,10
2020-04-02,Santiago del Estero,-27.78333,-64.26666,1
2020-04-02,Tierra del Fuego,-54.36194,-67.63805,24
2020-04-02,Tucumán,-27,-65.5,2
2020-04-03,Buenos Aires,-36.15722,-60.56972,32
2020-04-03,CABA,-34.58591,-58.38171,33
2020-04-03,Chaco,-27.45138,-58.98666,5
2020-04-03,Córdoba,-32,-64,4
2020-04-03,Entre Ríos,-32.04777,-60.2811,2
2020-04-03,La Rioja,-29.1,-66.85,2
2020-04-03,Mendoza,-32.89027,-68.84722,3
2020-04-03,Neuquén,-38.95166,-68.07444,1
2020-04-03,Río Negro,-40.8,-63,4
2020-04-03,Santa Cruz,-48.8238,-69.815,1
2020-04-03,Santa Fe,-33.72277,-62.24611,7
2020-04-03,Tierra del Fuego,-54.36194,-67.63805,7
2020-04-03,Tucumán,-27,-65.5,1
2020-04-04,Buenos Aires,-36.15722,-60.56972,29
2020-04-04,CABA,-34.58591,-58.38171,36
2020-04-04,Chaco,-27.45138,-58.98666,2
2020-04-04,Córdoba,-32,-64,5
2020-04-04,Entre Ríos,-32.04777,-60.2811,1
2020-04-04,La Rioja,-29.1,-66.85,1
2020-04-04,Mendoza,-32.89027,-68.84722,2
2020-04-04,Neuquén,-38.95166,-68.07444,8
2020-04-04,Río Negro,-40.8,-63,3
2020-04-04,Santa Cruz,-48.8238,-69.815,1
2020-04-04,Santa Fe,-33.72277,-62.24611,11
2020-04-04,Tierra del Fuego,-54.36194,-67.63805,2
2020-04-05,Buenos Aires,-36.15722,-60.56972,13
2020-04-05,CABA,-34.58591,-58.38171,20
2020-04-05,Córdoba,-32,-64,8
2020-04-05,La Rioja,-29.1,-66.85,1
2020-04-05,Mendoza,-32.89027,-68.84722,1
2020-04-05,Neuquén,-38.95166,-68.07444,11
2020-04-05,Río Negro,-40.8,-63,2
2020-04-05,San Luis,-33.3,-66.35,1
2020-04-05,Santa Fe,-33.72277,-62.24611,5
2020-04-05,Tierra del Fuego,-54.36194,-67.63805,3
2020-04-05,Tucumán,-27,-65.5,5
2020-04-06,Buenos Aires,-36.15722,-60.56972,31
2020-04-06,CABA,-34.58591,-58.38171,37
2020-04-06,Chaco,-27.45138,-58.98666,10
2020-04-06,Córdoba,-32,-64,7
2020-04-06,Corrientes,-28.6666,-57.6333,1
2020-04-06,Entre Ríos,-32.04777,-60.2811,1
2020-04-06,La Rioja,-29.1,-66.85,1
2020-04-06,Neuquén,-38.95166,-68.07444,1
2020-04-06,Río Negro,-40.8,-63,3
2020-04-06,Santa Fe,-33.72277,-62.24611,5
2020-04-06,Santiago del Estero,-27.78333,-64.26666,5
2020-04-06,Tierra del Fuego,-54.36194,-67.63805,1
2020-04-06,Tucumán,-27,-65.5,1
