fecha_internacion,residencia_provincia_nombre,lat,lng,Casos
2020-04-04,Río Negro,-40.8,-63,3
2020-04-04,Santa Cruz,-48.8238,-69.815,1
2020-04-04,Santa Fe,-33.72277,-62.24611,2
2020-04-04,Tierra del Fuego,-54.36194,-67.63805,1
2020-04-05,Buenos Aires,-36.15722,-60.56972,12
2020-04-05,CABA,-34.58591,-58.38171,18
2020-04-05,Córdoba,-32,-64,2
2020-04-05,Neuquén,-38.95166,-68.07444,1
2020-04-05,Río Negro,-40.8,-63,2
2020-04-05,Santa Cruz,-48.8238,-69.815,1
2020-04-06,Buenos Aires,-36.15722,-60.56972,17
2020-04-06,CABA,-34.58591,-58.38171,17
2020-04-06,Chaco,-27.45138,-58.98666,1
2020-04-06,Córdoba,-32,-64,1
2020-04-06,Mendoza,-32.89027,-68.84722,2
2020-04-06,Neuquén,-38.95166,-68.07444,10
2020-04-06,Río Negro,-40.8,-63,7
2020-04-06,Santa Cruz,-48.8238,-69.815,2
2020-04-07,Buenos Aires,-36.15722,-60.56972,10
2020-04-07,CABA,-34.58591,-58.38171,14
2020-04-07,Córdoba,-32,-64,2
2020-04-07,Mendoza,-32.89027,-68.84722,8
2020-04-07,Neuquén,-38.95166,-68.07444,12
2020-04-07,Río Negro,-40.8,-63,3
2020-04-07,San Luis,-33.3,-66.35,1
2020-04-07,Santiago del Estero,-27.78333,-64.26666,1
2020-04-08,Buenos Aires,-36.15722,-60.56972,18
2020-04-08,CABA,-34.58591,-58.38171,16
2020-04-08,Córdoba,-32,-64,1
2020-04-08,Mendoza,-32.89027,-68.84722,2
2020-04-08,Neuquén,-38.95166,-68.07444,3
2020-04-08,Río Negro,-40.8,-63,4
2020-04-08,Santa Cruz,-48.8238,-69.815,1
2020-04-08,Santa Fe,-33.72277,-62.24611,1
2020-04-09,Buenos Aires,-36.15722,-60.56972,11
2020-04-09,CABA,-34.58591,-58.38171,4
2020-04-09,Mendoza,-32.89027,-68.84722,7
2020-04-09,Neuquén,-38.95166,-68.07444,1
2020-04-09,Río Negro,-40.8,-63,1
2020-04-09,San Juan,-30.86666,-68.98333,1
2020-04-09,Santa Cruz,-48.8238,-69.815,2
2020-04-09,Santa Fe,-33.72277,-62.24611,1
2020-04-10,Buenos Aires,-36.15722,-60.56972,13
2020-04-10,CABA,-34.58591,-58.38171,6
2020-04-10,Chubut,-43.3,-65.1,1
2020-04-10,Córdoba,-32,-64,4
2020-04-10,La Rioja,-29.1,-66.85,1
2020-04-10,Mendoza,-32.89027,-68.84722,2
2020-04-10,Neuquén,-38.95166,-68.07444,2
2020-04-10,Río Negro,-40.8,-63,8
2020-04-11,Buenos Aires,-36.15722,-60.56972,22
2020-04-11,CABA,-34.58591,-58.38171,7
2020-04-11,Córdoba,-32,-64,12
2020-04-11,La Rioja,-29.1,-66.85,1
2020-04-11,Mendoza,-32.89027,-68.84722,2
2020-04-11,Neuquén,-38.95166,-68.07444,2
2020-04-11,Río Negro,-40.8,-63,4
2020-04-11,Santa Cruz,-48.8238,-69.815,1
2020-04-11,Santa Fe,-33.72277,-62.24611,1
2020-04-11,Tierra del Fuego,-54.36194,-67.63805,1
2020-04-12,Buenos Aires,-36.15722,-60.56972,20
2020-04-12,CABA,-34.58591,-58.38171,9
2020-04-12,Chaco,-27.45138,-58.98666,4
2020-04-12,Córdoba,-32,-64,10
2020-04-12,Mendoza,-32.89027,-68.84722,3
2020-04-12,Neuquén,-38.95166,-68.07444,1
2020-04-12,Río Negro,-40.8,-63,3
2020-04-13,Buenos Aires,-36.15722,-60.56972,22
2020-04-13,CABA,-34.58591,-58.38171,15
2020-04-13,Chaco,-27.45138,-58.98666,2
2020-04-13,Córdoba,-32,-64,3
2020-04-13,Mendoza,-32.89027,-68.84722,3
2020-04-13,Río Negro,-40.8,-63,11
2020-04-14,Buenos Aires,-36.15722,-60.56972,22
2020-04-14,CABA,-34.58591,-58.38171,15
2020-04-14,Chaco,-27.45138,-58.98666,2
2020-04-14,Córdoba,-32,-64,4
2020-04-14,Mendoza,-32.89027,-68.84722,1
2020-04-14,Río Negro,-40.8,-63,3
2020-04-14,Santa Fe,-33.72277,-62.24611,1
2020-04-15,Buenos Aires,-36.15722,-60.56972,24
2020-04-15,CABA,-34.58591,-58.38171,8
2020-04-15,Mendoza,-32.89027,-68.84722,3
2020-04-15,Río Negro,-40.8,-63,10
2020-04-15,Santa Cruz,-48.8238,-69.815,1
2020-04-16,Buenos Aires,-36.15722,-60.56972,21
2020-04-16,CABA,-34.58591,-58.38171,12
2020-04-16,Chaco,-27.45138,-58.98666,2
2020-04-16,Córdoba,-32,-64,1
2020-04-16,Mendoza,-32.89027,-68.84722,1
2020-04-16,Misiones,-26.91666,-54.51666,2
2020-04-16,Neuquén,-38.95166,-68.07444,3
2020-04-16,Río Negro,-40.8,-63,4
2020-04-16,Santa Fe,-33.72277,-62.24611,1
2020-04-17,Buenos Aires,-36.15722,-60.56972,33
2020-04-17,CABA,-34.58591,-58.38171,14
2020-04-17,Chaco,-27.45138,-58.98666,1
2020-04-17,Mendoza,-32.89027,-68.84722,1
2020-04-17,Neuquén,-38.95166,-68.07444,2
2020-04-17,Río Negro,-40.8,-63,4
2020-04-17,Santa Fe,-33.72277,-62.24611,2
2020-04-18,Buenos Aires,-36.15722,-60.56972,22
2020-04-18,CABA,-34.58591,-58.38171,19
2020-04-18,Mendoza,-32.89027,-68.84722,1
2020-04-18,Neuquén,-38.95166,-68.07444,1
2020-04-18,Río Negro,-40.8,-63,5
2020-04-19,Buenos Aires,-36.15722,-60.56972,23
2020-04-19,CABA,-34.58591,-58.38171,22
2020-04-19,Chaco,-27.45138,-58.98666,1
2020-04-19,Neuquén,-38.95166,-68.07444,3
2020-04-19,Río Negro,-40.8,-63,11
2020-04-20,Buenos Aires,-36.15722,-60.56972,33
2020-04-20,CABA,-34.58591,-58.38171,17
2020-04-20,Chaco,-27.45138,-58.98666,1
2020-04-20,Córdoba,-32,-64,16
2020-04-20,Neuquén,-38.95166,-68.07444,2
2020-04-20,Río Negro,-40.8,-63,11
2020-04-21,Buenos Aires,-36.15722,-60.56972,19
2020-04-21,CABA,-34.58591,-58.38171,37
2020-04-21,Chaco,-27.45138,-58.98666,1
2020-04-21,Córdoba,-32,-64,3
2020-04-21,Río Negro,-40.8,-63,10
2020-04-21,Santa Fe,-33.72277,-62.24611,1
2020-04-22,Buenos Aires,-36.15722,-60.56972,24
2020-04-22,CABA,-34.58591,-58.38171,54
2020-04-22,Chaco,-27.45138,-58.98666,2
2020-04-22,Córdoba,-32,-64,1
2020-04-22,La Rioja,-29.1,-66.85,1
2020-04-22,Neuquén,-38.95166,-68.07444,2
2020-04-22,Río Negro,-40.8,-63,5
